bin_name,box_name,position_x,position_y,position_z,width,height,depth,layer,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,47,93,36,0,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,46.5,36,#33,1.0
1,2,47,0,0,73,111,26,0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",83.5,55.5,26,#20,1.0
1,5,120,0,0,57,75,36,0,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",148.5,37.5,36,#18A,1.0
1,4,0,117,0,209,97,36,0,"(1.0, 0.0, 0.0, 1.0)",104.5,165.5,36,#35,0.0
1,3,47,0,26,55,117,28,1,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",74.5,58.5,54,#13,1.0
1,6,0,0,36,47,93,36,1,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,46.5,72,#33,1.0
1,11,120,0,36,57,75,32,1,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",148.5,37.5,68,#16A,1.0
1,9,135,91,36,73,111,26,1,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",171.5,146.5,62,#20,1.0
1,8,0,117,36,135,55,36,1,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,144.5,72,#29,0.0
1,7,47,0,54,57,75,36,2,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",75.5,37.5,90,#18A,1.0
1,13,120,0,68,57,75,32,2,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",148.5,37.5,100,#16A,1.0
1,10,0,117,72,91,69,46,2,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,151.5,118,#9,0.0
1,12,47,0,90,57,75,36,3,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",75.5,37.5,126,#18A,1.0
