bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation,layer
1,#16A外箱,32,37.5,28.5,32,0.0,0
1,#20外箱,26,171.5,55.5,26,1.0,0
1,#29外箱,36,67.5,84.5,36,0.0,0
1,#35外箱,36,104.5,160.5,36,0.0,0
1,#20外箱,26,171.5,55.5,52,1.0,1
1,#18A外箱,36,37.5,28.5,68,0.0,1
1,#29外箱,36,67.5,84.5,72,0.0,1
1,#35外箱,36,104.5,160.5,72,0.0,1
1,#22外箱,36,166.5,28.5,88,0.0,2
1,#7A外箱,40,37.5,28.5,108,0.0,2
1,#13外箱,28,58.5,84.5,100,0.0,2
1,#9外箱,46,183.5,131.5,118,1.0,2
1,#29外箱,36,67.5,139.5,108,0.0,2
1,#33外箱,36,46.5,190.5,108,0.0,2
1,#22外箱,36,166.5,28.5,124,0.0,3
1,#13外箱,28,58.5,84.5,128,0.0,3
1,#16A外箱,32,37.5,28.5,140,0.0,3
1,#29外箱,36,67.5,139.5,144,0.0,3
1,#9外箱,46,183.5,131.5,164,1.0,3
1,#22外箱,36,166.5,28.5,160,0.0,4
1,#13外箱,28,58.5,84.5,156,0.0,4
1,#18A外箱,36,37.5,28.5,176,0.0,4
1,#26外箱,40,74.5,139.5,184,0.0,4
1,#13外箱,28,58.5,84.5,184,0.0,5
1,#33外箱,36,165.5,23.5,196,0.0,5
1,#18A外箱,36,37.5,28.5,212,0.0,5
1,#26外箱,40,74.5,139.5,224,0.0,5
1,#22外箱,36,166.5,28.5,232,0.0,6
