bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,95,57,36
1,2,0,57,0,93,47,36
1,3,0,0,36,75,57,32
1,4,95,0,0,93,47,36
1,5,0,104,0,75,57,36
1,6,0,161,0,95,57,36
1,7,95,0,36,93,47,36
1,8,95,47,0,55,117,28
1,9,0,0,68,75,57,32
1,10,150,47,0,55,117,28
1,11,0,57,36,75,57,40
1,12,0,0,100,75,57,36
1,13,0,114,36,75,57,32
1,14,0,0,136,75,57,40
1,15,95,164,0,117,55,28
1,16,95,0,72,93,47,36
1,17,95,47,28,57,95,36
1,18,0,0,176,75,57,40
1,19,152,47,28,55,117,28
1,20,95,0,108,95,57,36
1,21,0,57,76,75,57,32
1,22,0,114,68,75,57,40
1,23,95,164,28,117,55,28
1,24,0,57,108,75,57,36
1,25,0,57,144,75,57,40
1,26,95,47,64,57,75,36
1,27,0,114,108,75,57,32
1,28,0,171,36,93,47,36
1,29,95,0,144,95,57,36
1,30,0,57,184,75,57,36
